campaign_id,advertiser_name,agency_name,industry_vertical,campaign_objective,buy_type,sale_type,contract_status,contract_value_usd,budget_usd,campaign_start_date,campaign_end_date,ad_play_date,ad_play_month,ad_play_quarter,ad_play_year,network,media_type,show_title,genre,content_rating,daypart,ad_format,device_type,ad_duration_seconds,is_sponsorship,state,dma_region,viewer_age_range,viewer_gender,viewer_income_bracket,viewer_interest,subscription_tier,opt_in_ads,days_active_30d,approved_impressions,impressions_delivered,delivery_rate_pct,clicks,ctr_pct,conversions,conversion_rate_pct,completion_rate_pct,viewability_pct,frequency_count,ad_cost_usd,ad_revenue_usd,cpm,roas,error_flag
5373,DraftKings,Publicis Media,CPG,Subscription Drive,Upfront,Scatter,Executed,1384532.68,1359219.46,2023-05-23,2023-08-26,2024-05-14,5,2,2024,Discovery+,FAST,CNN This Morning,Reality,TV-G,Afternoon (12-4pm),Pre-roll,Mobile,30,No,NC,Philadelphia,35-44,Female,$30-60K,Documentary,Max Ultimate,Yes,16,6850020,5848471,85.38,230209,3.936,4025,1.748,61.0,75.0,9,191289.45,238511.83,32.7076,1.247,
5100,Best Buy,Starcom,Retail,Direct Response,Scatter,Direct IO,Executed,1462096.06,1332228.64,2024-02-23,2024-06-16,2024-12-14,12,4,2024,Max,Programmatic,NBA on TNT,Sports,TV-MA,Early Fringe (4-7pm),Pause Ad,Connected Device,60,No,NY,New York,45-54,Male,$60-100K,Comedy,Max Ultimate,No,13,4054111,4054111,100.0,221434,5.462,8856,3.999,67.0,78.3,10,480928.24,673533.31,118.6273,1.4,
5872,Bank of America,Crossmedia,Automotive,Tune-In Promotion,Scatter,Upfront,Executed,1568786.61,1750697.31,2024-05-10,2024-09-24,2023-09-16,9,3,2023,CNN,Display,Game of Thrones,News,TV-14,Late Night (11pm-2am),Companion Banner,Mobile,30,No,GA,New York,35-44,Male,$100-150K,Sports,Max Ad-Free,No,17,1616936,1464386,90.57,27161,1.855,3006,11.067,69.1,72.9,1,102875.02,118277.04,70.2513,1.15,Buffering
5664,Delta Airlines,Spark Foundry,Gaming,Subscription Drive,Upfront,Scatter,Executed,2203262.84,1840507.24,2023-07-05,2023-09-28,2024-12-06,12,4,2024,Max,Display,The Wire,Action,TV-PG,Early Fringe (4-7pm),Pause Ad,Smart TV,30,No,MN,Los Angeles,45-54,Female,<$30K,Kids & Family,Linear (No Sub),Yes,27,1332325,1092224,81.98,51420,4.708,599,1.165,93.0,82.3,6,141724.26,220538.05,129.7575,1.556,Buffering
5131,Paramount+,Carat,Insurance,Brand Awareness,Scatter,Upfront,In Flight,1104725.06,1104832.26,2023-06-24,2023-08-28,2024-04-22,4,2,2024,Max,FAST,Curb Your Enthusiasm,Reality,TV-MA,Early Morning (5-9am),Pre-roll,Mobile,15,No,FL,New York,55-64,Female,$30-60K,Comedy,Max Ultimate,Yes,1,2104986,1829897,86.93,60143,3.287,2698,4.486,84.6,69.4,2,71319.69,106324.28,38.9747,1.491,
5662,Bank of America,Crossmedia,Entertainment,Tune-In Promotion,Upfront,Sponsorship,Cancelled,638810.58,747464.12,2023-09-08,2023-12-19,2024-08-17,8,3,2024,Max,Audio,White Lotus,Comedy,TV-PG,Overnight (2-5am),Pre-roll,Smart TV,30,Yes,NY,Los Angeles,45-54,Female,<$30K,Kids & Family,Max Ultimate,Yes,17,4812265,3913973,81.33,130888,3.344,6274,4.793,78.4,78.5,12,238859.99,376599.72,61.0275,1.577,
5309,Procter & Gamble,Zenith,Automotive,App Install,Open Market,Programmatic,In Flight,1517321.48,1589658.74,2023-07-07,2023-08-01,2024-11-20,11,4,2024,Cartoon Network,FAST,Inside the NBA,Reality,TV-G,Afternoon (12-4pm),Mid-roll,Smart TV,15,No,OH,Denver,45-54,Male,$60-100K,Documentary,Linear (No Sub),No,19,5475229,5011567,91.53,228064,4.551,25443,11.156,90.8,80.1,10,250523.22,291863.66,49.989,1.165,
5770,Johnson & Johnson,Havas Media,Gaming,Brand Awareness,Open Market,Programmatic,Makegood,558614.64,553669.99,2023-01-21,2023-02-06,2024-02-29,2,1,2024,HBO,Display,Teen Titans Go,Drama,TV-PG,Early Morning (5-9am),Overlay,Desktop,60,No,PA,Chicago,25-34,Male,$60-100K,News,Max Ad-Lite,Yes,12,6349479,4905592,77.26,26451,0.539,252,0.953,47.6,84.9,8,97322.53,113200.3,19.8391,1.163,
5344,Nike,Spark Foundry,QSR,Conversions,Upfront,Upfront,Makegood,1195946.67,1152829.31,2023-12-31,2024-02-18,2024-11-02,11,4,2024,Cartoon Network,Social,NBA on TNT,Animation,TV-MA,Early Fringe (4-7pm),Mid-roll,Smart TV,15,No,NY,Boston,55-64,Male,$30-60K,Drama,Linear (No Sub),Yes,6,2423430,2393736,98.77,67268,2.81,3307,4.916,56.3,85.7,2,364535.59,456777.08,152.2873,1.253,
5492,Disney+,Crossmedia,Retail,Direct Response,Open Market,Upfront,Executed,1417026.81,1535507.49,2023-04-10,2023-05-24,2024-02-18,2,1,2024,truTV,Linear TV,Planet Earth III,Comedy,TV-G,Prime Time (7-11pm),Mid-roll,Smart TV,45,No,MA,Los Angeles,35-44,Female,$60-100K,News,Linear (No Sub),Yes,26,4359657,3934246,90.24,166745,4.238,10269,6.159,70.5,72.4,6,85487.62,108598.67,21.7291,1.27,
5414,Apple TV+,Mediahub,Automotive,App Install,Scatter,Scatter,Pending,1748286.31,1620393.13,2023-04-24,2023-07-04,2024-04-15,4,2,2024,Bleacher Report,Digital Video,Shark Week,Kids,TV-PG,Prime Time (7-11pm),Companion Banner,Smart TV,30,No,NY,Tampa,18-24,Female,$60-100K,Reality TV,Max Ad-Lite,No,26,1201815,1064992,88.62,34586,3.248,543,1.57,63.4,77.6,1,24388.85,36533.92,22.9005,1.498,
5806,Expedia,Assembly,Retail,Tune-In Promotion,Open Market,Direct IO,Executed,1706645.28,1910106.19,2023-06-28,2023-08-19,2023-12-09,12,4,2023,CNN,Social,Inside the NBA,Sports,TV-Y,Afternoon (12-4pm),Post-roll,Desktop,30,No,GA,Los Angeles,55-64,Male,<$30K,Documentary,Max Ad-Free,Yes,8,5351807,5261639,98.32,100119,1.903,9437,9.426,80.0,84.5,3,277638.8,349091.94,52.7666,1.257,
5386,Subway,Carat,Healthcare,Lead Generation,Upfront,Programmatic,Cancelled,214259.17,181869.01,2024-05-14,2024-08-17,2023-05-25,5,2,2023,Adult Swim,Linear TV,True Detective,True Crime,TV-Y,Prime Time (7-11pm),Pre-roll,Smart TV,30,No,IL,Los Angeles,25-34,Male,$60-100K,Drama,Max Ad-Lite,Yes,22,625505,576156,92.11,18744,3.253,2089,11.145,85.0,92.5,11,36785.37,42552.51,63.8462,1.157,
5192,Mercedes-Benz,Carat,Entertainment,Subscription Drive,Scatter,Upfront,Executed,772067.49,714612.92,2023-03-07,2023-07-07,2024-03-03,3,1,2024,Adult Swim,Audio,Teen Titans Go,Documentary,TV-Y,Prime Time (7-11pm),Mid-roll,Smart TV,45,No,AZ,New York,25-34,Male,$60-100K,True Crime,Max Ad-Lite,No,18,5203312,4737068,91.04,275526,5.816,11081,4.022,95.7,84.6,4,247220.95,391025.21,52.1886,1.582,
5956,Walmart,Publicis Media,Telecom,Conversions,Upfront,Sponsorship,Cancelled,1766532.04,1504725.49,2023-07-02,2023-11-24,2024-12-22,12,4,2024,CNN,Streaming (SVOD),And Just Like That,True Crime,TV-G,Prime Time (7-11pm),Pause Ad,Smart TV,15,Yes,MN,New York,35-44,Male,$100-150K,Sports,Max Ultimate,Yes,29,5950587,5916502,99.43,283014,4.783,23649,8.356,83.9,71.1,12,1068613.74,1386641.8,180.6158,1.298,Skip
5277,Unilever,Initiative,Telecom,Lead Generation,Upfront,Scatter,Executed,2149157.45,1818873.75,2023-12-29,2024-02-17,2024-09-18,9,3,2024,Bleacher Report,Audio,Anderson Cooper 360,Kids,TV-Y7,Prime Time (7-11pm),Companion Banner,Smart TV,30,No,MI,Tampa,25-34,Female,$100-150K,Sports,Linear (No Sub),Yes,22,1062719,861466,81.06,36677,4.258,4478,12.209,57.1,86.0,2,91069.88,116072.76,105.715,1.275,
5161,T-Mobile,Assembly,Gaming,Lead Generation,Upfront,Scatter,Cancelled,973702.33,1026341.65,2024-02-10,2024-05-11,2024-08-19,8,3,2024,truTV,Social,90 Day Fiancé,Animation,TV-MA,Prime Time (7-11pm),Post-roll,Smart TV,30,No,TX,Detroit,45-54,Female,$60-100K,Reality TV,Max Ad-Free,Yes,6,1135098,1001558,88.24,17051,1.702,820,4.809,80.6,87.3,4,129875.73,167981.49,129.6737,1.293,
5460,Coca-Cola,Spark Foundry,Luxury Goods,Reach,Upfront,Programmatic,Executed,725016.64,795801.32,2023-04-22,2023-09-10,2024-05-23,5,2,2024,HBO,Social,White Lotus,Sports,TV-Y7,Prime Time (7-11pm),Pre-roll,Mobile,30,No,CO,Miami,45-54,Male,$30-60K,Documentary,Max Ad-Lite,No,19,967214,895036,92.54,25024,2.796,2006,8.016,64.8,73.4,2,70264.09,88083.75,78.5042,1.254,
5314,Peacock,UM Worldwide,Insurance,Subscription Drive,Upfront,Direct IO,In Flight,545604.7,634807.51,2024-03-21,2024-04-04,2023-10-26,10,4,2023,HBO,Linear TV,Looney Tunes,Documentary,TV-14,Early Morning (5-9am),Pre-roll,Mobile,15,No,TX,Los Angeles,18-24,Male,$30-60K,News,Max Ad-Lite,No,21,731742,607853,83.07,26098,4.293,2133,8.173,67.0,64.8,3,43314.88,69731.64,71.2588,1.61,
5022,Heineken,Canvas Worldwide,Luxury Goods,Reach,Scatter,Scatter,Executed,1441561.0,1436336.16,2023-12-19,2024-06-05,2023-06-14,6,2,2023,Cartoon Network,Linear TV,Teen Titans Go,Reality,TV-14,Late Night (11pm-2am),Pre-roll,Smart TV,30,No,MI,Philadelphia,55-64,Female,$100-150K,Reality TV,Max Ad-Lite,No,22,6661232,5726145,85.96,127809,2.232,4201,3.287,68.9,85.0,8,256414.48,335081.03,44.7796,1.307,
5253,Modelo,Hearts & Science,Tech,Reach,Scatter,Direct IO,Pending,765582.23,768557.21,2023-06-04,2023-08-24,2023-07-30,7,3,2023,truTV,FAST,NBA on TNT,Animation,TV-Y,Late Night (11pm-2am),Mid-roll,Tablet,45,No,GA,New York,25-34,Non-binary,$30-60K,Gaming,Max Ad-Free,Yes,16,6001764,4822352,80.35,47501,0.985,3880,8.168,50.2,69.2,6,172985.48,235457.89,35.8716,1.361,
5748,Geico,Assembly,Retail,Reach,Upfront,Programmatic,Executed,2333360.17,1976821.58,2023-12-21,2024-03-30,2023-01-08,1,1,2023,CNN,Streaming (SVOD),True Detective,Drama,TV-14,Prime Time (7-11pm),Mid-roll,Desktop,15,No,FL,Dallas,55-64,Male,$30-60K,Animation,Linear (No Sub),Yes,10,5684662,5392104,94.85,118480,2.197,7602,6.416,72.5,100.0,12,647523.75,837807.81,120.0874,1.294,
5857,Best Buy,Initiative,Insurance,Direct Response,Upfront,Upfront,Cancelled,1727087.38,1709771.77,2023-10-17,2024-03-25,2024-06-16,6,2,2024,truTV,Display,CNN Tonight,True Crime,TV-PG,Late Night (11pm-2am),Interactive,Smart TV,45,No,IL,San Francisco,35-44,Female,$30-60K,Sports,Max Ad-Lite,Yes,7,7470355,7470355,100.0,219265,2.935,25789,11.762,82.0,96.2,9,196399.37,331326.77,26.2905,1.687,Buffering
5561,FanDuel,UM Worldwide,Finance,App Install,Upfront,Upfront,In Flight,59966.54,65130.12,2024-04-18,2024-07-07,2024-10-05,10,4,2024,truTV,FAST,Euphoria,Kids,TV-MA,Prime Time (7-11pm),Companion Banner,Smart TV,30,No,CO,Philadelphia,55-64,Female,>$150K,News,Max Ad-Free,Yes,2,365946,351389,96.02,20495,5.833,1102,5.377,80.9,75.3,12,37493.52,42605.0,106.7009,1.136,
5475,Chevrolet,Initiative,Healthcare,Lead Generation,Scatter,Scatter,Executed,645749.95,631393.77,2023-08-17,2023-09-15,2023-09-06,9,3,2023,Discovery+,Display,Game of Thrones,News,TV-Y,Afternoon (12-4pm),Overlay,Mobile,30,No,MA,Atlanta,25-34,Female,>$150K,True Crime,Max Ultimate,No,19,739185,661290,89.46,30391,4.596,1455,4.788,75.6,68.2,5,7618.39,10441.2,11.5205,1.371,Timeout
5059,Lexus,Mediahub,Travel,App Install,Upfront,Programmatic,In Flight,1766169.6,1660989.17,2024-01-26,2024-02-24,2023-04-09,4,2,2023,Discovery+,Social,House of the Dragon,Animation,TV-14,Afternoon (12-4pm),Pre-roll,Mobile,15,No,MN,New York,45-54,Male,$100-150K,News,Max Ad-Free,No,18,7861270,7861270,100.0,389217,4.951,27559,7.081,78.7,62.6,12,249640.92,412770.97,31.7558,1.653,
5511,Domino's,Horizon Media,Healthcare,Subscription Drive,Open Market,Upfront,Executed,977024.94,839073.0,2023-09-24,2023-10-31,2023-10-19,10,4,2023,Max,Audio,Rick and Morty,Comedy,TV-PG,Early Morning (5-9am),Post-roll,Smart TV,15,No,AZ,Phoenix,45-54,Male,$60-100K,Comedy,Max Ultimate,No,22,2781244,2640493,94.94,104708,3.965,2087,1.993,98.9,71.7,12,136342.38,194800.2,51.6352,1.429,
5682,Paramount+,Havas Media,CPG,Subscription Drive,Programmatic Guaranteed,Scatter,Executed,1351445.81,1273163.64,2024-03-09,2024-07-11,2023-09-22,9,3,2023,HBO,Digital Video,Robot Chicken,Kids,TV-14,Prime Time (7-11pm),Pre-roll,Desktop,30,No,PA,Chicago,18-24,Female,$100-150K,Animation,Max Ad-Lite,No,22,2364736,2310830,97.72,69660,3.015,7243,10.398,66.4,89.2,6,124338.37,141197.76,53.8068,1.136,
5476,Hilton,Carat,Healthcare,Direct Response,Programmatic Guaranteed,Upfront,Cancelled,2273842.18,1968770.0,2023-01-30,2023-04-20,2023-12-11,12,4,2023,Bleacher Report,Programmatic,Robot Chicken,Kids,TV-Y7,Early Fringe (4-7pm),Interactive,Smart TV,30,No,MI,New York,25-34,Male,$100-150K,Drama,Max Ultimate,Yes,22,2272778,2009632,88.42,72701,3.618,2253,3.099,70.6,81.4,12,119420.57,171715.23,59.4241,1.438,
5700,Pepsi,Carat,Retail,Reach,Open Market,Scatter,Executed,1495796.91,1260175.58,2023-11-17,2024-03-24,2023-09-02,9,3,2023,Bleacher Report,Display,Barry,True Crime,TV-14,Late Night (11pm-2am),Pre-roll,Smart TV,30,No,PA,Phoenix,35-44,Male,$30-60K,True Crime,Max Ad-Lite,Yes,26,6511350,6388672,98.12,159286,2.493,14049,8.82,69.1,83.9,4,286073.87,425232.09,44.7783,1.486,
5976,Taco Bell,Dentsu,QSR,Lead Generation,Scatter,Scatter,Makegood,497076.39,478670.51,2023-12-27,2024-06-07,2023-10-21,10,4,2023,Adult Swim,Streaming (SVOD),Anderson Cooper 360,Reality,TV-MA,Late Night (11pm-2am),Mid-roll,Smart TV,30,No,TX,New York,35-44,Male,$60-100K,News,Max Ad-Free,Yes,3,1634290,1467362,89.79,26958,1.837,1609,5.969,66.1,81.2,10,165959.82,231838.68,113.1008,1.397,
5783,Mercedes-Benz,Wavemaker,Retail,Reach,Upfront,Programmatic,Executed,261283.82,245123.86,2023-03-09,2023-08-23,2024-11-22,11,4,2024,Cartoon Network,Programmatic,Barry,Action,TV-G,Prime Time (7-11pm),Companion Banner,Desktop,45,No,MI,Seattle,35-44,Male,$60-100K,Sports,Max Ad-Lite,No,15,4033029,3840517,95.23,147672,3.845,8760,5.932,82.8,79.6,1,354392.54,600012.3,92.2773,1.693,Skip
5190,Samsung,Canvas Worldwide,QSR,Brand Awareness,Upfront,Direct IO,Executed,2030205.81,1953989.32,2024-05-21,2024-09-05,2023-10-18,10,4,2023,TBS,Linear TV,House of the Dragon,Kids,TV-MA,Prime Time (7-11pm),Pre-roll,Desktop,30,No,CA,Los Angeles,35-44,Female,$100-150K,Documentary,Max Ad-Lite,Yes,26,1113801,996768,89.49,18245,1.83,1920,10.523,96.9,88.3,9,158108.04,184918.57,158.6207,1.17,
5958,McDonald's,Canvas Worldwide,Pharma,Direct Response,Scatter,Upfront,Cancelled,1548509.49,1749753.01,2023-08-15,2023-10-01,2024-09-17,9,3,2024,Bleacher Report,Digital Video,Inside the NBA,Sports,TV-14,Overnight (2-5am),Pre-roll,Smart TV,30,No,GA,Dallas,18-24,Female,$100-150K,Sports,Linear (No Sub),No,5,3322775,3322775,100.0,87831,2.643,3905,4.446,61.3,87.8,4,255273.85,391780.37,76.8255,1.535,Buffering
5687,Taco Bell,Omnicom Media Group,CPG,Brand Awareness,Scatter,Upfront,Pending,1513387.09,1569099.29,2023-07-05,2023-11-29,2024-05-08,5,2,2024,TBS,Streaming (SVOD),CNN This Morning,Comedy,TV-G,Late Night (11pm-2am),Pre-roll,Smart TV,30,No,GA,Boston,45-54,Non-binary,$60-100K,Kids & Family,Max Ad-Lite,Yes,27,795225,672422,84.56,24649,3.666,501,2.033,53.9,83.3,7,58605.81,84095.64,87.1563,1.435,
5958,McDonald's,Canvas Worldwide,Pharma,Direct Response,Scatter,Upfront,Cancelled,2064440.11,1749753.01,2023-08-15,2023-10-01,2023-10-20,10,4,2023,Bleacher Report,Digital Video,Inside the NBA,Sports,TV-14,Early Fringe (4-7pm),Pre-roll,Smart TV,15,No,GA,New York,25-34,Female,>$150K,Animation,Linear (No Sub),Yes,16,1555454,1491398,95.88,52015,3.488,2237,4.301,71.3,80.4,2,54324.77,85615.49,36.4254,1.576,
5563,Unilever,Hearts & Science,Tech,Subscription Drive,Scatter,Upfront,Executed,889810.48,757634.53,2023-08-06,2023-12-19,2024-10-08,10,4,2024,truTV,Linear TV,Inside the NBA,Reality,TV-MA,Afternoon (12-4pm),Pre-roll,Smart TV,15,No,OH,San Francisco,55-64,Male,<$30K,Reality TV,Max Ad-Free,No,24,5908816,5189932,87.83,128093,2.468,5702,4.451,70.5,100.0,4,516890.76,848313.21,99.5949,1.641,
5876,Eli Lilly,UM Worldwide,Tech,Reach,Upfront,Scatter,In Flight,500925.49,462795.47,2024-01-28,2024-05-22,2024-04-11,4,2,2024,Bleacher Report,FAST,House of the Dragon,Drama,TV-Y7,Early Morning (5-9am),Post-roll,Desktop,15,No,OH,Los Angeles,45-54,Female,$30-60K,Comedy,Max Ad-Free,Yes,25,6612763,5914852,89.45,124418,2.103,3941,3.168,67.0,99.8,4,100404.02,112878.92,16.9749,1.124,Ad Block
5567,Pepsi,UM Worldwide,Travel,Lead Generation,Programmatic Guaranteed,Scatter,Makegood,1763793.19,1941108.29,2024-06-11,2024-10-11,2023-01-11,1,1,2023,Adult Swim,Programmatic,Inside the NBA,Documentary,TV-Y,Prime Time (7-11pm),Interactive,Smart TV,45,No,TX,San Francisco,25-34,Female,$60-100K,Kids & Family,Linear (No Sub),No,21,7467148,6059950,81.15,103853,1.714,12054,11.607,88.1,87.2,1,108076.18,128946.63,17.8345,1.193,
5244,Marriott,Canvas Worldwide,Telecom,Reach,Open Market,Scatter,Executed,191615.44,219476.19,2024-03-29,2024-05-13,2023-03-18,3,1,2023,truTV,Programmatic,Inside the NBA,Documentary,TV-MA,Prime Time (7-11pm),Pause Ad,Mobile,30,No,FL,Tampa,18-24,Female,$60-100K,Comedy,Max Ad-Free,Yes,29,4783500,4578475,95.71,124172,2.712,7590,6.112,97.0,81.8,4,106244.43,164533.47,23.2052,1.549,
5832,Apple,Horizon Media,Entertainment,Brand Awareness,Upfront,Scatter,In Flight,472717.86,493870.79,2024-04-20,2024-08-27,2024-08-23,8,3,2024,Bleacher Report,Linear TV,Rick and Morty,Reality,TV-PG,Afternoon (12-4pm),Native,Smart TV,30,No,NY,Los Angeles,45-54,Female,$60-100K,Drama,Linear (No Sub),No,5,1687632,1439627,85.3,32910,2.286,1018,3.093,64.4,98.3,10,39416.99,47628.47,27.38,1.208,
5505,Budweiser,Assembly,Healthcare,Tune-In Promotion,Open Market,Direct IO,Executed,102669.19,88392.36,2023-10-25,2024-04-04,2023-12-09,12,4,2023,Discovery+,FAST,90 Day Fiancé,True Crime,TV-MA,Overnight (2-5am),Mid-roll,Desktop,15,No,IL,Seattle,65+,Female,>$150K,Comedy,Max Ad-Free,Yes,2,3990726,3658591,91.68,58288,1.593,8107,13.909,68.7,86.0,9,67969.3,79710.15,18.578,1.173,
